output1,output2,output3,output4,output5,output6
d_lock/d_0,surfaceShellWidth [nm],time [s],,,
0.877142095813331,86.4865851438324,1.52e-05,,,
particle size,particle number concentration in droplet core at breakup,particle number concentration in droplet surface shell at breakup,particle size gas phase,particle number concentration after breakup,particle number concentration final
[m³],[#/m³],[#/m³],[m³],[#/m³],[#/m³]
1.16839437531234e-19,1.50849572540997e-298,3.92294962183073e-92,7.98162412764809e-20,3.6359252546593e-304,1.97050580749351e-243
1.30244462832323e-19,9.53894172181037e-304,1.12556550702376e-94,8.89735836632332e-20,2.29918388948682e-309,2.16849829507794e-247
1.45187450889137e-19,2.30459968471754e-309,3.07689474682124e-97,9.91815508131553e-20,0,2.28756435565309e-251
1.61844852650843e-19,5.03756079460195e-315,8.01534425559487e-100,1.10560681234732e-19,0,2.31528116696541e-255
1.80413363339331e-19,1.00641172057862e-320,1.99012906247894e-102,1.23245342857321e-19,0,2.2508090371314e-259
2.01112245080967e-19,0,4.71052938465221e-105,1.37385319684941e-19,0,2.104762245879e-263
2.24185916014624e-19,0,1.06307911861052e-107,1.53147580487356e-19,0,1.89667955437821e-267
2.49906836448878e-19,0,2.28794178568379e-110,1.70718250413637e-19,0,1.65087855440426e-271
2.78578726148936e-19,0,4.69658470664559e-113,1.90304808809561e-19,0,1.39188143586098e-275
3.10540150743893e-19,0,9.19707375304248e-116,2.12138539191301e-19,0,1.14057903183658e-279
3.46168519603621e-19,0,1.71837627514826e-118,2.36477260305354e-19,0,9.11908749443175e-284
3.85884542393328e-19,0,3.06377605247977e-121,2.63608370523837e-19,0,7.14252649373785e-288
